Driver Name,Id Measure W,Pitch,Roll,Yaw
Matt,317,359.44627,0.37139,175.66121
Matt,318,358.93065,359.93096,173.52817
Matt,319,357.55068,0.35485,172.8229
Matt,320,355.03606,2.47119,173.099
Matt,321,356.24365,1.70336,174.31477
Matt,322,359.78278,359.77595,175.82322
Matt,323,358.97389,359.55889,177.21616
Matt,324,358.28573,0.69676,177.63703
Matt,325,356.15144,0.98097,177.64414
Matt,326,356.82339,0.62325,175.98204
Matt,327,358.1875,1.20175,173.33987
Matt,328,0.73393,2.56751,172.73699
Matt,329,0.78871,3.12924,171.132
Matt,330,359.87876,3.25694,171.33837
Matt,331,356.3413,4.39541,171.70941
Matt,332,355.36615,4.21029,173.56532
Matt,333,357.92565,1.83591,176.20817
Matt,334,358.96587,1.12734,178.85904
Matt,335,359.47418,2.42116,178.38346
Matt,336,357.9393,1.12333,180.60788
Matt,337,355.72343,1.00106,179.22552
Matt,338,355.52001,1.24053,176.46343
Matt,339,357.26331,1.25306,174.07014
Matt,340,359.6243,1.84797,173.27238
Matt,341,0.75683,2.73762,165.77457
Matt,342,359.02067,3.90553,156.97033
Matt,343,356.19801,3.74466,159.64268
Matt,344,356.36571,3.44957,162.84346
Matt,345,357.21187,1.25346,167.12332
Matt,346,358.94853,1.38707,166.1204
Matt,347,358.33732,1.96313,162.27961
Matt,348,356.89908,2.31346,160.07253
Matt,349,354.41863,3.62851,157.07159
Matt,350,356.07698,4.64655,155.24846
Matt,351,359.3228,6.21072,152.88865
Matt,352,0.50394,7.06172,147.56486
Matt,353,0.07414,6.2196,142.48658
Matt,354,358.4327,6.22189,144.49836
Matt,355,357.40668,7.00255,144.39352
Matt,356,358.40694,5.51595,147.87156
Matt,357,359.41208,4.39893,151.30843
Matt,358,359.97297,6.08468,146.69155
Matt,359,358.02062,4.90355,148.70234
Matt,360,356.57977,4.61642,147.38278
Matt,361,356.94113,4.0697,146.43654
Matt,362,359.75198,5.05487,143.98746
Matt,363,1.06984,6.03109,142.44506
Matt,364,0.42106,7.60768,136.82757
Matt,365,358.59203,6.88479,138.54173
Matt,366,357.0089,5.52308,143.1987
Matt,367,0.59746,4.05214,148.92928
Matt,368,2.03992,4.51827,147.68663
Matt,369,0.35966,3.38796,149.93671
Matt,370,359.37285,3.54388,147.12749
Matt,371,1.78434,5.50746,142.02171
Matt,372,0.91614,7.62478,140.62186
Matt,373,1.99687,8.23223,138.48878
Matt,374,1.88279,7.8525,136.71774
Matt,375,0.43578,4.59471,140.04676
Matt,376,1.88594,2.44133,146.20396
Matt,377,3.82728,1.59021,149.89117
Matt,378,0.74433,0.15341,153.6935
Matt,379,356.22313,359.85793,152.85335
Matt,380,353.80424,0.79343,148.78467
Matt,381,353.81717,353.4411,149.59017
Matt,382,352.63451,354.05112,148.38676
Matt,383,349.32995,352.18208,146.83821
Matt,384,344.86706,349.32205,152.494
Matt,385,344.01053,347.97888,160.07025
Matt,386,343.28308,349.11418,157.99357
Matt,387,341.85557,349.11159,163.84709
Matt,388,342.21376,349.61051,166.6024
Matt,389,348.77801,352.48651,160.14224
Matt,390,349.22418,352.19041,161.8348
Matt,391,351.51397,356.62972,155.27293
Matt,392,352.70307,356.03588,157.24365
Matt,393,351.1938,358.73177,151.42199
Matt,394,350.9706,356.63275,157.6456
Matt,395,352.13234,354.0146,162.23325
Matt,396,353.86214,354.09035,165.11052
Matt,397,352.3112,353.00275,168.30809
Matt,398,352.01441,354.58661,168.58377
Matt,399,351.56345,355.96454,166.35062
Matt,400,353.37539,358.09025,162.87796
Matt,401,354.59244,1.84823,155.64727
Matt,402,354.89401,2.24886,155.38971
Matt,403,354.54081,3.35963,155.28516
Matt,404,352.67053,3.45968,156.67384
Matt,405,352.65939,1.38485,161.17062
Matt,406,353.84422,359.32203,168.61718
Matt,407,352.57621,1.89497,168.65307
Matt,408,354.30256,0.63907,168.12685
Matt,409,352.52857,358.95237,167.50853
Matt,410,353.50834,0.02409,164.14551
Matt,411,354.68575,1.61646,162.17185
Matt,412,356.6878,3.85124,159.72523
Matt,413,356.95955,5.51046,158.95865
Matt,414,357.56555,7.06689,154.9831
Matt,415,355.43306,6.1236,156.11196
Matt,416,355.63753,3.24839,160.39254
Matt,417,355.65668,1.50309,164.00675
Matt,418,354.61957,2.92317,162.87486
Matt,419,353.20779,3.01274,166.058
Matt,420,351.4384,3.98937,164.1954
Matt,421,354.21462,3.30698,161.50322
Matt,422,355.82745,4.76557,158.80657
Matt,423,356.63778,6.77725,158.52353
Matt,424,358.40098,9.36977,153.3373
Matt,425,355.54554,8.5482,153.20218
Matt,426,353.66642,8.88036,154.78994
Matt,427,354.91353,6.7073,159.58379
Matt,428,355.50032,5.62478,163.90421
Matt,429,355.06945,7.37257,161.82635
Matt,430,353.54511,6.96554,163.41801
Matt,431,351.88819,6.41767,161.4508
Matt,432,353.31563,6.73657,157.22059
Matt,433,355.06907,6.82555,153.64352
Matt,434,356.47127,8.1808,153.63524
Matt,435,357.15333,8.54163,150.97053
Matt,436,354.16571,7.60483,154.43895
Matt,437,351.27229,8.60232,155.74804
Matt,438,352.56869,6.28685,160.2786
Matt,439,354.07478,3.95434,163.14706
Matt,440,353.7863,3.25658,167.6274
Matt,441,353.41457,2.99392,170.48357
Matt,442,352.21602,4.10382,169.35648
Matt,443,351.49193,5.35295,164.85518
Matt,444,354.13207,4.36134,162.40372
Matt,445,356.67247,5.2753,161.04239
Matt,446,359.07752,5.91714,159.16141
Matt,447,359.47821,6.75256,154.65212
Matt,448,355.98004,5.37088,156.43088
Matt,449,353.33369,4.53496,158.99672
Matt,450,354.7191,3.15104,162.78016
Matt,451,357.53454,1.78931,166.57931
Matt,452,357.27597,2.70656,167.24199
Matt,453,356.94151,2.60361,167.95213
Matt,454,354.89831,3.79608,166.35195
Matt,455,354.15418,4.66576,164.35697
Matt,456,357.12058,5.23788,161.97877
Matt,457,358.89643,5.12692,160.21287
Matt,458,0.37839,5.59234,155.90457
Matt,459,356.35391,4.1279,156.3775
Matt,460,353.77748,2.67185,160.15321
Matt,461,351.85069,1.57528,164.25165
Matt,462,354.58281,1.167,167.33862
Matt,463,355.96939,2.54148,168.90704
Matt,464,356.16566,2.4596,169.60115
Matt,465,354.52987,3.31826,168.6838
Matt,466,355.27727,2.92959,165.51353
Matt,467,358.06884,3.1512,162.48825
Matt,468,0.4636,3.84902,162.51927
Matt,469,2.60219,4.5904,159.56312
Matt,470,1.75405,3.85904,158.59371
Matt,471,359.52291,2.19641,162.3529
Matt,472,357.53375,1.88133,166.20679
Matt,473,359.80635,1.07449,169.93843
Matt,474,1.76451,0.78769,174.24912
Matt,475,2.37534,0.90738,174.70965
Matt,476,1.42901,0.79451,177.37542
Matt,477,0.4793,0.93327,175.76265
Matt,478,0.06613,0.75558,175.38136
Matt,479,0.18413,2.15504,175.50369
Matt,480,359.19431,2.59966,178.39141
Matt,481,358.89764,1.16559,180.39974
Matt,482,357.99076,359.60695,184.4786
Matt,483,357.84096,357.21389,194.11267
Matt,484,0.5669,356.58724,202.0935
Matt,485,2.87115,356.79754,211.40477
Matt,486,4.49558,356.51666,222.1843
Matt,487,3.81307,354.75115,227.82181
Matt,488,1.14203,352.61342,231.44304
Matt,489,358.15803,352.64107,229.01097
Matt,490,358.5919,354.37246,224.47918
Matt,491,1.02628,355.91716,231.75241
Matt,492,1.09133,355.81405,238.36107
Matt,493,1.92143,355.16684,254.43301
Matt,494,359.98114,355.54643,256.65249
Matt,495,0.18442,354.22062,268.09871
Matt,496,0.12447,356.50648,280.43554
Matt,497,1.39441,358.59422,280.96198
Matt,498,2.31534,358.49172,281.44476
Matt,499,2.76995,356.83958,280.33131
Matt,500,3.89981,356.25632,279.14755
Matt,501,5.44143,356.4767,273.42672
Matt,502,6.14327,356.14534,267.96406
Matt,503,8.17036,356.92442,261.93183
Matt,504,9.07042,358.46657,255.73597
Matt,505,8.80457,357.7658,248.04451
Matt,506,8.97337,356.87554,239.86738
Matt,507,7.86323,355.24879,231.53064
Matt,508,6.20753,353.37901,223.15329
Matt,509,4.50614,351.16752,215.45521
